Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.18;501;0;0;nil;1;0
J1;0;0.07;0.18;1.93;1;0;nil;1;0
J1;0.07;0.61;0.18;1.93;1;1;J1;0;1
J1;0.18;0.61;0.24;1.93;1;2;J1, J2;0;2
J1;0.24;0.61;0.26;1.93;1;3;J1, J2, J2;0;3
J1;0.26;0.61;0.37;1.93;1;4;J1, J2, J2, J2;0;4
J1;0.37;0.61;0.38;1.93;1;5;J1, J2, J2, J2, J2;0;5
J1;0.38;0.61;0.42;1.93;1;6;J1, J2, J2, J2, J2, J2;0;6
J1;0.42;0.61;0.93;1.93;1;7;J1, J2, J2, J2, J2, J2, J2;0;7
J1;0.61;1.65;0.93;1.93;1;8;J1, J2, J2, J2, J2, J2, J2, J1;0;8
J1;0.93;1.65;0.94;1.93;1;9;J1, J2, J2, J2, J2, J2, J2, J1, J2;0;9
J1;0.94;1.65;1.07;1.93;1;10;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2;0;10
J1;1.07;1.65;1.45;1.93;1;11;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;11
J1;1.45;1.65;1.6;1.93;1;12;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;12
J1;1.6;1.65;1.74;1.93;1;13;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;13
J1;1.65;2.35;1.74;1.93;1;14;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;14
J1;1.74;2.35;1.99;1.93;1;15;J1, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;15
J1;1.93;2.35;1.99;3.29;1;14;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;15
J1;1.99;2.35;2.06;3.29;1;15;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;15
J1;2.06;2.35;2.73;3.29;1;16;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;16
J1;2.35;2.36;2.73;3.29;1;17;J2, J2, J2, J2, J2, J2, J1, J2, J2, J2, ...;0;17
