Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.05;501;0;0;nil;1;0
J1;0;0.54;0.05;2.11;1;0;nil;1;0
J1;0.05;0.54;0.19;2.11;1;1;J2;0;1
J1;0.19;0.54;0.22;2.11;1;2;J2, J2;0;2
J1;0.22;0.54;0.27;2.11;1;3;J2, J2, J2;0;3
J1;0.27;0.54;0.75;2.11;1;4;J2, J2, J2, J2;0;4
J1;0.54;0.73;0.75;2.11;1;5;J2, J2, J2, J2, J1;0;5
J1;0.73;0.83;0.75;2.11;1;6;J2, J2, J2, J2, J1, J1;0;6
J1;0.75;0.83;1.26;2.11;1;7;J2, J2, J2, J2, J1, J1, J2;0;7
J1;0.83;0.91;1.26;2.11;1;8;J2, J2, J2, J2, J1, J1, J2, J1;0;8
J1;0.91;1.45;1.26;2.11;1;9;J2, J2, J2, J2, J1, J1, J2, J1, J1;0;9
J1;1.26;1.45;1.58;2.11;1;10;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2;0;10
J1;1.45;1.64;1.58;2.11;1;11;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2, ...;0;11
J1;1.58;1.64;1.83;2.11;1;12;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2, ...;0;12
J1;1.64;2.96;1.83;2.11;1;13;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2, ...;0;13
J1;1.83;2.96;2.06;2.11;1;14;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2, ...;0;14
J1;2.06;2.96;2.66;2.11;1;15;J2, J2, J2, J2, J1, J1, J2, J1, J1, J2, ...;0;15
J2;2.11;2.96;2.66;4.92;1;14;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;15
J2;2.66;2.96;3.04;4.92;1;15;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;15
J2;2.96;3.8;3.04;4.92;1;16;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;16
J2;3.04;3.8;3.25;4.92;1;17;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;17
J2;3.25;3.8;3.27;4.92;1;18;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;18
J2;3.27;3.8;3.6;4.92;1;19;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;19
J2;3.6;3.8;3.83;4.92;1;20;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;20
J2;3.8;3.83;3.83;4.92;1;21;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;21
J2;3.83;4.41;3.83;4.92;1;22;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;22
J2;3.83;4.41;4.4;4.92;1;23;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;23
J2;4.4;4.41;4.83;4.92;1;24;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;24
J2;4.41;5.68;4.83;4.92;1;25;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;25
J2;4.83;5.68;5.08;4.92;1;26;J2, J2, J2, J1, J1, J2, J1, J1, J2, J1, ...;0;26
J2;4.92;5.68;5.08;7.28;1;25;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;26
J2;5.08;5.68;5.16;7.28;1;26;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;26
J2;5.16;5.68;5.2;7.28;1;27;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;27
J2;5.2;5.68;5.45;7.28;1;28;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;28
J2;5.45;5.68;5.63;7.28;1;29;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;29
J2;5.63;5.68;5.91;7.28;1;30;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;30
J2;5.68;6.99;5.91;7.28;1;31;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;31
J2;5.91;6.99;6.22;7.28;1;32;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;32
J2;6.22;6.99;7.05;7.28;1;33;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;33
J2;6.99;7.09;7.05;7.28;1;34;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;34
J2;7.05;7.09;7.12;7.28;1;35;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;35
J2;7.09;7.22;7.12;7.28;1;36;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;36
J2;7.12;7.22;7.3;7.28;1;37;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;37
J2;7.22;8.82;7.3;7.28;1;38;J2, J2, J1, J1, J2, J1, J1, J2, J1, J2, ...;0;38
J2;7.28;8.82;7.3;10;1;37;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;38
J2;7.3;8.82;7.43;10;1;38;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;38
J2;7.43;8.82;8.33;10;1;39;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;39
J2;8.33;8.82;8.63;10;1;40;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;40
J2;8.63;8.82;8.83;10;1;41;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;41
J2;8.82;9.6;8.83;10;1;42;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;42
J2;8.83;9.6;8.95;10;1;43;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;43
J2;8.95;9.6;9.59;10;1;44;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;44
J2;9.59;9.6;10.8;10;1;45;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;45
J2;9.6;10.08;10.8;10;1;46;J2, J1, J1, J2, J1, J1, J2, J1, J2, J1, ...;0;46
J2;10;10.08;10.8;13.17;1;45;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;46
J2;10.08;10.57;10.8;13.17;1;46;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;46
J2;10.57;10.75;10.8;13.17;1;47;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;47
J2;10.75;11.8;10.8;13.17;1;48;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;48
J2;10.8;11.8;10.86;13.17;1;49;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;49
J2;10.86;11.8;11.05;13.17;1;50;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;50
J2;11.05;11.8;11.32;13.17;1;51;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;51
J2;11.32;11.8;11.97;13.17;1;52;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;52
J2;11.8;11.93;11.97;13.17;1;53;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;53
J2;11.93;12;11.97;13.17;1;54;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;54
J2;11.97;12;12.06;13.17;1;55;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;55
J2;12;12.17;12.06;13.17;1;56;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;56
J2;12.06;12.17;12.43;13.17;1;57;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;57
J2;12.17;14.47;12.43;13.17;1;58;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;58
J2;12.43;14.47;12.53;13.17;1;59;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;59
J2;12.53;14.47;12.68;13.17;1;60;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;60
J2;12.68;14.47;13.17;13.17;1;61;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;61
J2;13.17;14.47;13.43;13.17;1;62;J1, J1, J2, J1, J1, J2, J1, J2, J1, J2, ...;0;62
J1;13.17;14.47;13.43;15.23;1;61;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;62
J1;13.43;14.47;13.73;15.23;1;62;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;62
J1;13.73;14.47;14.06;15.23;1;63;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;63
J1;14.06;14.47;14.4;15.23;1;64;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;64
J1;14.4;14.47;14.42;15.23;1;65;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;65
J1;14.42;14.47;14.49;15.23;1;66;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;66
J1;14.47;15.23;14.49;15.23;1;67;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;67
J1;14.49;15.23;15.3;15.23;1;68;J1, J2, J1, J1, J2, J1, J2, J1, J2, J2, ...;0;68
J1;15.23;15.23;15.3;17.46;1;67;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;68
J1;15.23;16.51;15.3;17.46;1;68;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;68
J1;15.3;16.51;15.38;17.46;1;69;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;69
J1;15.38;16.51;15.43;17.46;1;70;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;70
J1;15.43;16.51;15.61;17.46;1;71;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;71
J1;15.61;16.51;15.69;17.46;1;72;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;72
J1;15.69;16.51;16.16;17.46;1;73;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;73
J1;16.16;16.51;16.37;17.46;1;74;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;74
J1;16.37;16.51;16.5;17.46;1;75;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;75
J1;16.5;16.51;16.64;17.46;1;76;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;76
J1;16.51;17.06;16.64;17.46;1;77;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;77
J1;16.64;17.06;16.9;17.46;1;78;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;78
J1;16.9;17.06;17.02;17.46;1;79;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;79
J1;17.02;17.06;17.16;17.46;1;80;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;80
J1;17.06;17.45;17.16;17.46;1;81;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;81
J1;17.16;17.45;17.5;17.46;1;82;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;82
J1;17.45;18.24;17.5;17.46;1;83;J2, J1, J1, J2, J1, J2, J1, J2, J2, J2, ...;0;83
J2;17.46;18.24;17.5;19.04;1;82;J1, J1, J2, J1, J2, J1, J2, J2, J2, J1, ...;0;83
J2;17.5;18.24;17.81;19.04;1;83;J1, J1, J2, J1, J2, J1, J2, J2, J2, J1, ...;0;83
J2;17.81;18.24;18.56;19.04;1;84;J1, J1, J2, J1, J2, J1, J2, J2, J2, J1, ...;0;84
J2;18.24;18.74;18.56;19.04;1;85;J1, J1, J2, J1, J2, J1, J2, J2, J2, J1, ...;0;85
