Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.21;501;0;0;nil;1;0
J1;0;0.14;0.21;2.38;1;0;nil;1;0
J1;0.14;0.58;0.21;2.38;1;1;J1;0;1
J1;0.21;0.58;0.32;2.38;1;2;J1, J2;0;2
J1;0.32;0.58;0.89;2.38;1;3;J1, J2, J2;0;3
J1;0.58;1.73;0.89;2.38;1;4;J1, J2, J2, J1;0;4
J1;0.89;1.73;1.23;2.38;1;5;J1, J2, J2, J1, J2;0;5
J1;1.23;1.73;1.28;2.38;1;6;J1, J2, J2, J1, J2, J2;0;6
J1;1.28;1.73;1.77;2.38;1;7;J1, J2, J2, J1, J2, J2, J2;0;7
J1;1.73;2.56;1.77;2.38;1;8;J1, J2, J2, J1, J2, J2, J2, J1;0;8
J1;1.77;2.56;1.95;2.38;1;9;J1, J2, J2, J1, J2, J2, J2, J1, J2;0;9
J1;1.95;2.56;2.04;2.38;1;10;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2;0;10
J1;2.04;2.56;2.04;2.38;1;11;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;11
J1;2.04;2.56;2.06;2.38;1;12;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;12
J1;2.06;2.56;2.17;2.38;1;13;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;13
J1;2.17;2.56;2.21;2.38;1;14;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;14
J1;2.21;2.56;2.26;2.38;1;15;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;15
J1;2.26;2.56;3.38;2.38;1;16;J1, J2, J2, J1, J2, J2, J2, J1, J2, J2, ...;0;16
J1;2.38;2.56;3.38;4.35;1;15;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;16
J1;2.56;2.56;3.38;4.35;1;16;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;16
J1;2.56;2.57;3.38;4.35;1;17;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;17
J1;2.57;2.89;3.38;4.35;1;18;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;18
J1;2.89;3.4;3.38;4.35;1;19;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;19
J1;3.38;3.4;3.59;4.35;1;20;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;20
J1;3.4;4.01;3.59;4.35;1;21;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;21
J1;3.59;4.01;3.82;4.35;1;22;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;22
J1;3.82;4.01;3.87;4.35;1;23;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;23
J1;3.87;4.01;4.14;4.35;1;24;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;24
J1;4.01;4.41;4.14;4.35;1;25;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;25
J1;4.14;4.41;4.25;4.35;1;26;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;26
J1;4.25;4.41;4.26;4.35;1;27;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;27
J1;4.26;4.41;4.49;4.35;1;28;J2, J2, J1, J2, J2, J2, J1, J2, J2, J2, ...;0;28
J2;4.35;4.41;4.49;8.08;1;27;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;28
J2;4.41;4.9;4.49;8.08;1;28;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;28
J2;4.49;4.9;4.58;8.08;1;29;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;29
J2;4.58;4.9;5.1;8.08;1;30;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;30
J2;4.9;5.76;5.1;8.08;1;31;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;31
J2;5.1;5.76;5.88;8.08;1;32;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;32
J2;5.76;7.49;5.88;8.08;1;33;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;33
J2;5.88;7.49;6.07;8.08;1;34;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;34
J2;6.07;7.49;6.11;8.08;1;35;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;35
J2;6.11;7.49;6.27;8.08;1;36;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;36
J2;6.27;7.49;6.34;8.08;1;37;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;37
J2;6.34;7.49;6.84;8.08;1;38;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;38
J2;6.84;7.49;6.9;8.08;1;39;J2, J1, J2, J2, J2, J1, J2, J2, J2, J2, ...;0;39
