Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.06;501;0;0;nil;1;0
J1;0;1.68;0.06;1.99;1;0;nil;1;0
J1;0.06;1.68;0.08;1.99;1;1;J2;0;1
J1;0.08;1.68;0.52;1.99;1;2;J2, J2;0;2
J1;0.52;1.68;0.67;1.99;1;3;J2, J2, J2;0;3
J1;0.67;1.68;0.77;1.99;1;4;J2, J2, J2, J2;0;4
J1;0.77;1.68;1.18;1.99;1;5;J2, J2, J2, J2, J2;0;5
J1;1.18;1.68;1.22;1.99;1;6;J2, J2, J2, J2, J2, J2;0;6
J1;1.22;1.68;1.72;1.99;1;7;J2, J2, J2, J2, J2, J2, J2;0;7
J1;1.68;1.74;1.72;1.99;1;8;J2, J2, J2, J2, J2, J2, J2, J1;0;8
J1;1.72;1.74;1.73;1.99;1;9;J2, J2, J2, J2, J2, J2, J2, J1, J2;0;9
J1;1.73;1.74;2.02;1.99;1;10;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2;0;10
J1;1.74;2.46;2.02;1.99;1;11;J2, J2, J2, J2, J2, J2, J2, J1, J2, J2, ...;0;11
J2;1.99;2.46;2.02;4.16;1;10;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1;0;11
J2;2.02;2.46;2.16;4.16;1;11;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;11
J2;2.16;2.46;2.51;4.16;1;12;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;12
J2;2.46;3.33;2.51;4.16;1;13;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;13
J2;2.51;3.33;2.92;4.16;1;14;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;14
J2;2.92;3.33;3.05;4.16;1;15;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;15
J2;3.05;3.33;3.07;4.16;1;16;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;16
J2;3.07;3.33;3.14;4.16;1;17;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;17
J2;3.14;3.33;3.16;4.16;1;18;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;18
J2;3.16;3.33;3.54;4.16;1;19;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;19
J2;3.33;3.39;3.54;4.16;1;20;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;20
J2;3.39;3.48;3.54;4.16;1;21;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;21
J2;3.48;4.32;3.54;4.16;1;22;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;22
J2;3.54;4.32;3.78;4.16;1;23;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;23
J2;3.78;4.32;4.33;4.16;1;24;J2, J2, J2, J2, J2, J2, J1, J2, J2, J1, ...;0;24
J2;4.16;4.32;4.33;6.75;1;23;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;24
J2;4.32;5.28;4.33;6.75;1;24;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;24
J2;4.33;5.28;4.46;6.75;1;25;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;25
J2;4.46;5.28;4.49;6.75;1;26;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;26
J2;4.49;5.28;5.04;6.75;1;27;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;27
J2;5.04;5.28;5.1;6.75;1;28;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;28
J2;5.1;5.28;5.38;6.75;1;29;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;29
J2;5.28;6.2;5.38;6.75;1;30;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;30
J2;5.38;6.2;5.47;6.75;1;31;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;31
J2;5.47;6.2;5.61;6.75;1;32;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;32
J2;5.61;6.2;6.05;6.75;1;33;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;33
J2;6.05;6.2;6.18;6.75;1;34;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;34
J2;6.18;6.2;6.49;6.75;1;35;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;35
J2;6.2;7.8;6.49;6.75;1;36;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;36
J2;6.49;7.8;6.76;6.75;1;37;J2, J2, J2, J2, J2, J1, J2, J2, J1, J2, ...;0;37
J2;6.75;7.8;6.76;9.28;1;36;J2, J2, J2, J2, J1, J2, J2, J1, J2, J2, ...;0;37
