Event;Time;Job 1;Job 2;Stop time;Status;Queue length;Queue;MoE1;MoE2
Start;0;0;0.56;501;0;0;nil;1;0
J1;0;0.89;0.56;2.22;1;0;nil;1;0
J1;0.56;0.89;0.79;2.22;1;1;J2;0;1
J1;0.79;0.89;0.94;2.22;1;2;J2, J2;0;2
J1;0.89;1.99;0.94;2.22;1;3;J2, J2, J1;0;3
J1;0.94;1.99;1.04;2.22;1;4;J2, J2, J1, J2;0;4
J1;1.04;1.99;1.24;2.22;1;5;J2, J2, J1, J2, J2;0;5
J1;1.24;1.99;1.29;2.22;1;6;J2, J2, J1, J2, J2, J2;0;6
J1;1.29;1.99;1.78;2.22;1;7;J2, J2, J1, J2, J2, J2, J2;0;7
J1;1.78;1.99;1.9;2.22;1;8;J2, J2, J1, J2, J2, J2, J2, J2;0;8
J1;1.9;1.99;1.9;2.22;1;9;J2, J2, J1, J2, J2, J2, J2, J2, J2;0;9
J1;1.9;1.99;2.89;2.22;1;10;J2, J2, J1, J2, J2, J2, J2, J2, J2, J2;0;10
J1;1.99;2.51;2.89;2.22;1;11;J2, J2, J1, J2, J2, J2, J2, J2, J2, J2, ...;0;11
J2;2.22;2.51;2.89;4.8;1;10;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1;0;11
J2;2.51;2.91;2.89;4.8;1;11;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;11
J2;2.89;2.91;3.2;4.8;1;12;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;12
J2;2.91;3.04;3.2;4.8;1;13;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;13
J2;3.04;3.09;3.2;4.8;1;14;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;14
J2;3.09;4.67;3.2;4.8;1;15;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;15
J2;3.2;4.67;3.27;4.8;1;16;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;16
J2;3.27;4.67;3.34;4.8;1;17;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;17
J2;3.34;4.67;3.43;4.8;1;18;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;18
J2;3.43;4.67;3.95;4.8;1;19;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;19
J2;3.95;4.67;3.99;4.8;1;20;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;20
J2;3.99;4.67;4.22;4.8;1;21;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;21
J2;4.22;4.67;4.43;4.8;1;22;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;22
J2;4.43;4.67;4.9;4.8;1;23;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;23
J2;4.67;4.84;4.9;4.8;1;24;J2, J1, J2, J2, J2, J2, J2, J2, J2, J1, ...;0;24
J2;4.8;4.84;4.9;7.62;1;23;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;24
J2;4.84;6.11;4.9;7.62;1;24;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;24
J2;4.9;6.11;4.97;7.62;1;25;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;25
J2;4.97;6.11;4.98;7.62;1;26;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;26
J2;4.98;6.11;5.07;7.62;1;27;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;27
J2;5.07;6.11;5.1;7.62;1;28;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;28
J2;5.1;6.11;5.37;7.62;1;29;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;29
J2;5.37;6.11;5.57;7.62;1;30;J1, J2, J2, J2, J2, J2, J2, J2, J1, J1, ...;0;30
